Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-11-01,42.63653968784005,43.8565065326299,41.90634025691999,43.52702713012695,4366400,0.0,0.0
2011-11-02,44.18154670920089,45.12546145398209,43.905494311929324,44.89393615722656,4064000,0.0,0.0
2011-11-03,50.739978503108766,53.75428066185129,49.6758461880206,52.948387145996094,9353200,0.0,0.0
2011-11-04,52.08016363394433,53.15765272787631,51.51470215121104,52.51205062866211,4122400,0.0,0.0
2011-11-07,52.24490516903673,52.423003366064414,51.70616058580989,52.39628982543945,3681800,0.0,0.0
2011-11-08,51.821924991463725,52.5343143835693,51.61265986445196,52.338409423828125,2791200,0.0,0.0
2011-11-09,51.4256523537243,51.83527578231516,50.65983257169953,51.1718635559082,2857600,0.0,0.0
2011-11-10,51.69280849477758,52.12024216817137,50.735533571423375,51.639381408691406,2611200,0.0,0.0
2011-11-11,52.017823411150886,52.08906063828267,51.06054875606185,51.229740142822266,2385600,0.0,0.0
2011-11-14,50.81565838506264,51.85753033006256,50.48617902331787,51.358856201171875,2215800,0.0,0.0
2011-11-15,51.14070141197162,51.81747047045317,50.87355582038523,51.5280647277832,4746800,0.0,0.0
2011-11-16,50.94479824998824,51.73288173194212,50.59305521640226,50.904727935791016,2152400,0.0,0.0
2011-11-17,50.73997718967166,51.22084125349022,49.68474828244876,50.30809020996094,2087400,0.0,0.0
2011-11-18,50.468378856315184,50.83793198754586,50.01868171345546,50.10327911376953,1541000,0.0,0.0
2011-11-21,49.29292831369642,49.29292831369642,48.1531055589088,48.50484848022461,2723200,0.0,0.0
2011-11-22,48.625082496206105,50.04541152447117,48.625082496206105,49.41316604614258,2794200,0.0,0.0
2011-11-23,48.855764857857494,48.855764857857494,47.65111436758596,48.37030792236328,2146200,0.525,0.0
2011-11-25,47.803945789613785,48.797332512180915,47.29152012149111,48.19950485229492,824800,0.0,0.0
2011-11-28,49.68285301232444,51.3235161020536,49.68285301232444,50.46048355102539,2153400,0.0,0.0
2011-11-29,50.757140213085776,50.757140213085776,49.88511939938886,49.91658401489258,1625200,0.0,0.0
2011-11-30,51.65614298436937,53.112514283461955,51.65614298436937,53.0316047668457,2847200,0.0,0.0
2011-12-01,52.59108612246158,53.15295670069301,51.87189246820253,51.95729446411133,1424600,0.0,0.0
