Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-07-14,38.20500183105469,38.685001373291016,37.505001068115234,37.619998931884766,6653200,0,0.0
2011-07-15,38.07500076293945,38.630001068115234,37.775001525878906,38.599998474121094,6164400,0,0.0
2011-07-18,38.439998626708984,38.5,37.72999954223633,38.157501220703125,4457200,0,0.0
2011-07-19,38.41749954223633,40.029998779296875,38.3849983215332,39.83000183105469,8363200,0,0.0
2011-07-20,40.01750183105469,40.01750183105469,38.345001220703125,38.709999084472656,7633600,0,0.0
2011-07-21,38.47249984741211,38.61000061035156,36.564998626708984,36.772499084472656,13632000,0,0.0
2011-07-22,36.98249816894531,37.97999954223633,36.810001373291016,37.602500915527344,8096000,0,0.0
2011-07-25,37.1775016784668,37.90999984741211,37.127498626708984,37.407501220703125,4981600,0,0.0
2011-07-26,37.5,38.15250015258789,37.01499938964844,37.9375,7111600,0,0.0
2011-07-27,37.79249954223633,37.79750061035156,36.25749969482422,36.34749984741211,9347600,0,0.0
2011-07-28,36.57500076293945,36.897499084472656,36.0625,36.525001525878906,8042800,0,0.0
2011-07-29,36.16749954223633,36.494998931884766,35.400001525878906,36.1775016784668,7013600,0,0.0
2011-08-01,37.14250183105469,37.23500061035156,35.625,36.415000915527344,7644400,0,0.0
2011-08-02,36.14250183105469,37.14250183105469,35.79750061035156,35.814998626708984,7222800,0,0.0
2011-08-03,36.27750015258789,36.584999084472656,34.29249954223633,35.994998931884766,10394000,0,0.0
2011-08-04,35.627498626708984,35.747501373291016,33.79999923706055,33.85749816894531,10842400,0,0.0
2011-08-05,34.81999969482422,35.09749984741211,32.494998931884766,33.92250061035156,12984800,0,0.0
2011-08-08,33.0724983215332,33.47999954223633,30.947500228881836,31.232500076293945,13323600,0,0.0
2011-08-09,31.762500762939453,33.15250015258789,30.8075008392334,33.127498626708984,13769200,0,0.0
2011-08-10,32.400001525878906,33.067501068115234,31.77750015258789,32.057498931884766,12761600,0,0.0
2011-08-11,32.407501220703125,34.18000030517578,32.04750061035156,33.63750076293945,10658000,0,0.0
2011-08-12,33.974998474121094,34.119998931884766,33.24250030517578,33.52000045776367,8325200,0,0.0
2011-08-15,34.10499954223633,34.48249816894531,33.525001525878906,34.342498779296875,7332000,0,0.0
