Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-07-14,327.44000244140625,329.69000244140625,320.30999755859375,324.6300048828125,830400,0,0
2011-07-15,325.05999755859375,326.17999267578125,320.1199951171875,324.6000061035156,834300,0,0
2011-07-18,324.7799987792969,328.3599853515625,322.6199951171875,327.989990234375,764200,0,0
2011-07-19,330.20001220703125,333.7099914550781,325.29998779296875,333.7099914550781,1473500,0,0
2011-07-20,324.75,332.0,323.6700134277344,330.0199890136719,1872700,0,0
2011-07-21,330.5,332.42999267578125,325.760009765625,328.2200012207031,821500,0,0
2011-07-22,329.6600036621094,336.7099914550781,328.0899963378906,335.5199890136719,1019800,0,0
2011-07-25,332.7900085449219,337.32000732421875,332.0,334.4599914550781,540800,0,0
2011-07-26,333.44000244140625,336.8800048828125,330.75,331.3999938964844,466200,0,0
2011-07-27,329.17999267578125,329.7900085449219,321.79998779296875,322.739990234375,828100,0,0
2011-07-28,323.0,329.0,323.0,324.1600036621094,525500,0,0
2011-07-29,320.8900146484375,327.57000732421875,317.8500061035156,324.5799865722656,784300,0,0
2011-08-01,328.9700012207031,329.989990234375,323.0899963378906,327.54998779296875,511700,0,0
2011-08-02,325.6199951171875,330.5899963378906,320.2900085449219,320.6499938964844,607300,0,0
2011-08-03,321.010009765625,327.0,313.0799865722656,325.5799865722656,1070500,0,0
2011-08-04,322.5,325.8800048828125,311.3999938964844,311.3999938964844,1263900,0,0
2011-08-05,314.3399963378906,317.80999755859375,301.1099853515625,311.5199890136719,1240800,0,0
2011-08-08,303.20001220703125,305.2099914550781,291.20001220703125,291.70001220703125,1410600,0,0
2011-08-09,294.0199890136719,304.0,287.5199890136719,302.55999755859375,1451300,0,0
2011-08-10,298.6099853515625,309.20001220703125,295.0,299.760009765625,1401500,0,0
2011-08-11,303.3599853515625,318.6600036621094,303.25,316.2799987792969,1199300,0,0
2011-08-12,319.0400085449219,320.9700012207031,314.6300048828125,317.70001220703125,643800,0,0
2011-08-15,319.5,321.5799865722656,314.0199890136719,319.67999267578125,521600,0,0
2011-08-16,317.6199951171875,318.8299865722656,312.2699890136719,315.8900146484375,531800,0,0
2011-08-17,317.04998779296875,317.8699951171875,305.510009765625,309.44000244140625,698900,0,0
2011-08-18,301.54998779296875,301.94000244140625,279.0,284.5,1890800,0,0
2011-08-19,281.6000061035156,292.42999267578125,277.0,279.3699951171875,1762100,0,0
2011-08-22,283.1300048828125,286.6000061035156,271.5299987792969,273.20001220703125,1563900,0,0
2011-08-23,275.489990234375,295.6000061035156,275.489990234375,294.55999755859375,1476200,0,0
2011-08-24,294.95001220703125,299.9800109863281,290.0199890136719,296.4599914550781,1166400,0,0
2011-08-25,298.3599853515625,299.989990234375,288.20001220703125,289.239990234375,686200,0,0
2011-08-26,288.9599914550781,300.7900085449219,285.0,298.8800048828125,894300,0,0
2011-08-29,300.75,307.57000732421875,300.75,305.25,731400,0,0
2011-08-30,304.70001220703125,313.1700134277344,302.6499938964844,311.2099914550781,746700,0,0
2011-08-31,313.6600036621094,318.0,310.2300109863281,313.3699951171875,892500,0,0
2011-09-01,314.0299987792969,316.0,308.04998779296875,309.1700134277344,538800,0,0
2011-09-02,302.42999267578125,309.92999267578125,300.57000732421875,305.5,625000,0,0
2011-09-06,298.9700012207031,310.9800109863281,297.70001220703125,310.42999267578125,850800,0,0
2011-09-07,313.8999938964844,313.8999938964844,307.1000061035156,308.69000244140625,774800,0,0
2011-09-08,307.3800048828125,315.8500061035156,306.3399963378906,311.3399963378906,761600,0,0
2011-09-09,308.04998779296875,309.6000061035156,300.5299987792969,305.1700134277344,923600,0,0
2011-09-12,301.80999755859375,309.44000244140625,300.82000732421875,307.75,697200,0,0
2011-09-13,306.30999755859375,312.17999267578125,306.30999755859375,311.4100036621094,592300,0,0
2011-09-14,312.9800109863281,319.6600036621094,308.8999938964844,315.9100036621094,956000,0,0
2011-09-15,318.0,319.0,312.25,316.1499938964844,667800,0,0
2011-09-16,316.57000732421875,318.19000244140625,314.0199890136719,318.05999755859375,567100,0,0
2011-09-19,315.5,338.32000732421875,314.20001220703125,336.1400146484375,1572400,0,0
2011-09-20,337.0299987792969,346.7799987792969,332.0,333.19000244140625,2035500,0,0
2011-09-21,331.0299987792969,343.4800109863281,329.3399963378906,333.25,2014000,0,0
2011-09-22,325.0299987792969,334.739990234375,320.75,325.94000244140625,1762400,0,0
2011-09-23,322.7900085449219,323.8299865722656,313.5799865722656,320.5,1244500,0,0
2011-09-26,324.739990234375,329.9700012207031,310.0,329.44000244140625,1047300,0,0
2011-09-27,334.4800109863281,334.4800109863281,319.5299987792969,320.6099853515625,941500,0,0
2011-09-28,322.4700012207031,328.3500061035156,318.0,319.05999755859375,782900,0,0
2011-09-29,323.82000732421875,324.6499938964844,303.3399963378906,313.1400146484375,1190800,0,0
2011-09-30,308.0899963378906,312.94000244140625,301.79998779296875,302.95001220703125,858200,0,0
2011-10-03,300.80999755859375,306.6000061035156,291.4800109863281,292.70001220703125,969500,0,0
2011-10-04,290.0,302.9599914550781,285.3900146484375,301.0899963378906,1400000,0,0
2011-10-05,300.9200134277344,302.3599853515625,292.0,300.7900085449219,1039000,0,0
2011-10-06,292.75,301.2200012207031,289.0799865722656,298.989990234375,1549800,0,0
2011-10-07,296.9800109863281,298.55999755859375,290.5400085449219,294.5899963378906,995000,0,0
2011-10-10,298.7699890136719,311.8399963378906,298.5,307.8500061035156,741600,0,0
2011-10-11,305.0199890136719,315.0,305.010009765625,309.95001220703125,682700,0,0
2011-10-12,313.4700012207031,318.04998779296875,311.0,314.0,828600,0,0
2011-10-13,311.3599853515625,318.9800109863281,311.3599853515625,317.30999755859375,688400,0,0
2011-10-14,320.0,321.6600036621094,314.7200012207031,320.79998779296875,699000,0,0
2011-10-17,319.6000061035156,324.3299865722656,317.0899963378906,319.7900085449219,613900,0,0
2011-10-18,320.5,321.05999755859375,310.2799987792969,319.8500061035156,584800,0,0
2011-10-19,319.4700012207031,319.989990234375,309.1700134277344,310.2699890136719,758300,0,0
2011-10-20,308.9700012207031,312.2900085449219,306.05999755859375,307.9100036621094,1232800,0,0
2011-10-21,320.07000732421875,333.5,318.4100036621094,333.489990234375,2661100,0,0
2011-10-24,334.0,342.9800109863281,332.3999938964844,342.489990234375,1117300,0,0
2011-10-25,339.5899963378906,343.0,334.0299987792969,334.17999267578125,878800,0,0
2011-10-26,338.9599914550781,339.5,330.0199890136719,332.8500061035156,747000,0,0
2011-10-27,341.25,345.9200134277344,335.0199890136719,343.5199890136719,747600,0,0
2011-10-28,341.32000732421875,344.9800109863281,338.3299865722656,341.3999938964844,496900,0,0
2011-10-31,338.9800109863281,347.94000244140625,336.04998779296875,336.1199951171875,1015000,0,0
2011-11-01,326.6400146484375,334.2699890136719,324.0,328.17999267578125,882600,0,0
2011-11-02,332.989990234375,332.989990234375,324.92999267578125,329.6199951171875,562300,0,0
2011-11-03,333.6300048828125,338.6600036621094,329.05999755859375,337.5,869200,0,0
2011-11-04,334.30999755859375,339.94000244140625,334.30999755859375,338.9700012207031,491800,0,0
2011-11-07,338.8699951171875,341.6099853515625,336.0899963378906,339.1600036621094,419800,0,0
2011-11-08,341.0,342.739990234375,335.0,339.8699951171875,443800,0,0
2011-11-09,333.010009765625,338.07000732421875,331.67999267578125,332.8399963378906,474900,0,0
2011-11-10,336.9200134277344,336.95001220703125,324.5299987792969,325.8800048828125,751100,0,0
2011-11-11,329.82000732421875,333.1600036621094,325.2799987792969,332.0199890136719,507800,0,0
2011-11-14,330.75,334.3399963378906,326.3299865722656,327.0299987792969,464600,0,0
2011-11-15,326.0,329.1099853515625,322.510009765625,327.4599914550781,496600,0,0
2011-11-16,325.0299987792969,326.95001220703125,315.010009765625,316.6700134277344,791900,0,0
2011-11-17,316.7099914550781,319.6400146484375,310.0,313.6099853515625,710200,0,0
2011-11-18,314.29998779296875,315.8999938964844,308.260009765625,311.05999755859375,506100,0,0
2011-11-21,306.42999267578125,308.4800109863281,302.67999267578125,305.5799865722656,498000,0,0
2011-11-22,304.19000244140625,312.2200012207031,304.19000244140625,308.3800048828125,525400,0,0
2011-11-23,306.6700134277344,308.75,300.45001220703125,300.45001220703125,459500,0,0
2011-11-25,300.0,304.8900146484375,300.0,300.75,219900,0,0
2011-11-28,309.5,313.3800048828125,307.25,309.54998779296875,474200,0,0
2011-11-29,310.0199890136719,313.82000732421875,309.30999755859375,312.9700012207031,395100,0,0
2011-11-30,320.2099914550781,321.70001220703125,316.2699890136719,321.55999755859375,709200,0,0
2011-12-01,318.5,324.0899963378906,315.92999267578125,323.0400085449219,581600,0,0
2011-12-02,324.9800109863281,333.3299865722656,323.80999755859375,330.489990234375,786700,0,0
2011-12-05,334.1499938964844,338.67999267578125,333.0299987792969,336.2099914550781,817700,0,0
2011-12-06,334.0,334.8299865722656,329.260009765625,331.42999267578125,455300,0,0
2011-12-07,330.1499938964844,338.1000061035156,328.1499938964844,336.75,597400,0,0
2011-12-08,334.9100036621094,339.2300109863281,333.5400085449219,334.739990234375,587500,0,0
2011-12-09,335.67999267578125,339.9800109863281,332.9100036621094,338.6000061035156,478300,0,0
2011-12-12,335.3800048828125,341.2799987792969,334.3500061035156,340.2200012207031,529700,0,0
2011-12-13,340.0,340.1099853515625,328.5,329.510009765625,678700,0,0
2011-12-14,327.70001220703125,329.92999267578125,319.2099914550781,321.1099853515625,599700,0,0
2011-12-15,324.4800109863281,324.5,316.739990234375,318.5199890136719,505500,0,0
2011-12-16,319.70001220703125,321.94000244140625,316.79998779296875,318.3999938964844,554000,0,0
2011-12-19,320.67999267578125,321.510009765625,317.19000244140625,317.7699890136719,363300,0,0
2011-12-20,322.20001220703125,332.0,321.4700012207031,331.7200012207031,513900,0,0
2011-12-21,331.6000061035156,334.6000061035156,330.0899963378906,334.05999755859375,335000,0,0
2011-12-22,334.9800109863281,336.1499938964844,329.79998779296875,331.25,245400,0,0
2011-12-23,332.67999267578125,335.32000732421875,331.3999938964844,335.32000732421875,200600,0,0
2011-12-27,335.0,339.94000244140625,333.1199951171875,339.0,272600,0,0
2011-12-28,338.6400146484375,340.5,336.6700134277344,340.1400146484375,396600,0,0
2011-12-29,340.0,342.0,338.6600036621094,340.7699890136719,292700,0,0
2011-12-30,340.9800109863281,341.80999755859375,337.739990234375,337.739990234375,223200,0,0
2012-01-03,343.70001220703125,350.489990234375,340.0,341.2699890136719,728100,0,0
2012-01-04,346.0,349.9800109863281,345.010009765625,348.75,743100,0,0
2012-01-05,346.8800048828125,351.9800109863281,342.57000732421875,350.4800109863281,672300,0,0
2012-01-06,348.8800048828125,352.6300048828125,347.3500061035156,348.95001220703125,370700,0,0
2012-01-09,349.0,349.489990234375,336.2900085449219,339.739990234375,748600,0,0
2012-01-10,343.82000732421875,344.3399963378906,336.54998779296875,341.1199951171875,503500,0,0
2012-01-11,340.0,347.9200134277344,338.239990234375,347.6000061035156,573900,0,0
2012-01-12,347.6099853515625,348.510009765625,343.79998779296875,347.6199951171875,384900,0,0
2012-01-13,350.260009765625,355.0,350.0,354.6199951171875,697100,0,0
2012-01-17,356.8399963378906,357.75,353.1600036621094,353.3800048828125,351300,0,0
2012-01-18,354.20001220703125,357.75,351.8999938964844,356.82000732421875,323900,0,0
2012-01-19,356.7099914550781,359.4800109863281,355.5400085449219,358.0899963378906,331900,0,0
2012-01-20,356.6000061035156,358.54998779296875,354.1000061035156,356.3900146484375,383400,0,0
2012-01-23,356.8399963378906,363.32000732421875,356.3699951171875,360.4599914550781,480600,0,0
2012-01-24,358.3999938964844,361.1000061035156,357.0199890136719,360.6000061035156,373300,0,0
2012-01-25,359.8900146484375,364.8500061035156,359.0,363.1400146484375,491300,0,0
2012-01-26,364.1199951171875,370.3500061035156,363.0199890136719,365.80999755859375,491200,0,0
2012-01-27,364.04998779296875,368.3599853515625,362.30999755859375,366.760009765625,279300,0,0
